site_age_z,region,mean,Q5,Q95,site_age
0.8886285644371049,North,0.8629977118670877,0.5422010516619817,0.9999460259735435,23.9049917962125
0.9243529216716797,North,0.8683194497673467,0.5498579062699669,0.9999581615292024,24.18369838163388
0.9600772789062554,North,0.8733904041863789,0.5578266209432619,0.999966331535376,24.46240496705527
0.9958016361408302,North,0.8782228913012207,0.5658597889830524,0.9999733927122748,24.741111552476653
1.031525993375405,North,0.8828287174458375,0.5754611629066021,0.9999790417935188,25.019818137898035
1.0672503506099797,North,0.8872191880430146,0.5843635147443426,0.9999840942660179,25.298524723319417
1.1029747078445546,North,0.8914051155293967,0.5948923185436318,0.9999874937664667,25.5772313087408
1.1386990650791293,North,0.895396826533842,0.6006298285491557,0.9999901767591263,25.85593789416218
1.1744234223137042,North,0.8992041691478455,0.6096889056557376,0.9999924056509509,26.134644479583564
1.2101477795482798,North,0.902836521203525,0.61725240169201,0.9999940028121208,26.413351065004953
1.2458721367828547,North,0.9063028002310528,0.6257385175442547,0.9999952549359505,26.692057650426335
1.2815964940174294,North,0.9096114753990491,0.6331273637762649,0.9999964791504369,26.970764235847717
1.3173208512520043,North,0.9127705813939966,0.6398253006266066,0.9999973202847479,27.2494708212691
1.353045208486579,North,0.9157877339455028,0.64720523694298,0.9999978759799005,27.52817740669048
1.3887695657211538,North,0.9186701465727225,0.6544019335318454,0.9999983907908966,27.806883992111864
1.4244939229557285,North,0.9214246480969113,0.6619367204409655,0.9999987387364508,28.085590577533246
1.4602182801903034,North,0.9240577005040347,0.6675004947633391,0.9999989957845226,28.364297162954628
1.495942637424879,North,0.9265754168168295,0.6751311175757989,0.999999200438702,28.643003748376017
1.5316669946594539,North,0.9289835787216396,0.6824731467584968,0.9999993780153529,28.9217103337974
1.5673913518940286,North,0.9312876537747624,0.6872414148888066,0.9999995201049295,29.20041691921878
1.6031157091286035,North,0.9334928120773133,0.6935496770103373,0.9999996234288593,29.479123504640164
1.6388400663631781,North,0.9356039423543774,0.6999472981197644,0.9999997138495256,29.757830090061546
1.674564423597753,North,0.9376256674050091,0.7062489099805737,0.9999997893646502,30.036536675482928
1.7102887808323277,North,0.9395623589078914,0.7102009240722633,0.9999998408420054,30.31524326090431
1.7460131380669035,North,0.9414181515770922,0.7153120928019736,0.9999998763310334,30.5939498463257
1.7817374953014782,North,0.9431969566668617,0.7225420977415007,0.9999999048488278,30.87265643174708
1.817461852536053,North,0.9449024748265266,0.7287764969461227,0.9999999242888672,31.151363017168464
1.853186209770628,North,0.9465382083080324,0.734795973477895,0.9999999397458565,31.430069602589846
1.8889105670052027,North,0.9481074725305922,0.7377903587851458,0.9999999546480071,31.708776188011228
1.9246349242397776,North,0.9496134070095757,0.7444464031059721,0.9999999643494326,31.98748277343261
1.9603592814743522,North,0.9510589856601902,0.7509899312059328,0.9999999719480867,32.26618935885399
1.9960836387089271,North,0.9524470264903858,0.7563978452038431,0.9999999776988344,32.544895944275375
2.031807995943503,North,0.9537802007014138,0.7618515926728527,0.9999999822419697,32.823602529696764
2.0675323531780774,North,0.9550610412182124,0.7667678818441972,0.9999999860515283,33.102309115118146
2.1032567104126523,North,0.9562919506750401,0.7702511827508947,0.9999999892830284,33.38101570053953
2.138981067647227,North,0.9574752088842972,0.7740262661732046,0.9999999917014691,33.65972228596091
2.174705424881802,North,0.9586129798182235,0.7791110600672567,0.9999999933672372,33.93842887138229
